ردیف,زمان,سطح,بخش,رویداد,"شناسه مرتبط",پیام,جزئیات
3407,"1405-06-23 11:54:57",اطلاعات,سفارش,order_pending,319701,"سفارش #319701 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3406,"1405-06-23 11:54:52",اطلاعات,سفارش,order_pending,319700,"سفارش #319700 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3405,"1405-06-23 11:54:24",اطلاعات,سفارش,order_pending,319699,"سفارش #319699 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3404,"1405-06-23 11:53:33",اطلاعات,سفارش,order_pending,319698,"سفارش #319698 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3403,"1405-06-23 11:52:15",موفق,سفارش,order_sent,319697,"پیام کامل سفارش #319697 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3402,"1405-06-23 11:51:03",اطلاعات,سفارش,order_pending,319697,"سفارش #319697 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3401,"1405-06-23 11:51:00",اطلاعات,سفارش,order_pending,319696,"سفارش #319696 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3400,"1405-06-23 11:50:04",اطلاعات,سفارش,order_pending,319695,"سفارش #319695 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3399,"1405-06-23 11:48:03",اطلاعات,سفارش,order_pending,319694,"سفارش #319694 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3398,"1405-06-23 11:44:04",موفق,سفارش,order_sent,319692,"پیام کامل سفارش #319692 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3397,"1405-06-23 11:42:31",اطلاعات,سفارش,order_pending,319692,"سفارش #319692 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3396,"1405-06-23 11:28:08",اطلاعات,سفارش,order_pending,319679,"سفارش #319679 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3395,"1405-06-23 11:26:10",اطلاعات,سفارش,order_pending,319678,"سفارش #319678 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3394,"1405-06-23 11:20:39",موفق,سفارش,order_sent,319677,"پیام کامل سفارش #319677 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3393,"1405-06-23 11:19:29",اطلاعات,سفارش,order_pending,319677,"سفارش #319677 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3392,"1405-06-23 11:13:38",اطلاعات,سفارش,order_pending,319676,"سفارش #319676 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3391,"1405-06-23 10:37:43",اطلاعات,سفارش,order_pending,319674,"سفارش #319674 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3390,"1405-06-23 10:34:11",موفق,سفارش,order_sent,319673,"پیام کامل سفارش #319673 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3389,"1405-06-23 10:32:20",اطلاعات,سفارش,order_pending,319673,"سفارش #319673 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3388,"1405-06-23 10:19:42",موفق,سفارش,order_sent,319670,"پیام کامل سفارش #319670 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3387,"1405-06-23 10:19:19",اطلاعات,سفارش,order_pending,319672,"سفارش #319672 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3386,"1405-06-23 10:17:06",اطلاعات,سفارش,order_pending,319671,"سفارش #319671 معوق شد: اقلام سفارش هنوز ثبت نشده.","{""missing"":[""اقلام سفارش""]}"
3385,"1405-06-23 10:16:57",اطلاعات,سفارش,order_pending,319670,"سفارش #319670 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3384,"1405-06-23 10:11:42",اطلاعات,سفارش,order_pending,319669,"سفارش #319669 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3383,"1405-06-23 10:06:36",اطلاعات,سفارش,order_pending,319668,"سفارش #319668 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3382,"1405-06-23 09:56:48",اطلاعات,سفارش,order_pending,319667,"سفارش #319667 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
3381,"1405-06-23 09:50:15",موفق,سفارش,order_sent,319665,"پیام کامل سفارش #319665 به تلگرام ارسال شد.","{""chats"":[-1003853185157],""source"":""pending_flush""}"
3380,"1405-06-23 09:48:20",اطلاعات,سفارش,order_pending,319666,"سفارش #319666 معوق شد: آدرس و اقلام سفارش هنوز ثبت نشده.","{""missing"":[""آدرس"",""اقلام سفارش""]}"
